GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
product-svc,com.catalogix.product.controller,HealthController,3,3,0,0,1,1,1,1,1,1
product-svc,com.catalogix.product.controller,ProductController,16,64,4,6,4,19,4,6,0,5
product-svc,com.catalogix.product.config,CorsConfig.new WebMvcConfigurer() {...},0,46,0,0,0,7,0,2,0,2
product-svc,com.catalogix.product.config,CorsConfig,0,23,0,0,0,5,0,3,0,3
product-svc,com.catalogix.product,ProductSvcApplication,5,3,0,0,2,1,1,1,1,1
product-svc,com.catalogix.product.service,ProductService,69,6,2,0,11,3,6,1,5,1
product-svc,com.catalogix.product.security,RateLimiterFilter.RequestCounter,0,9,0,0,0,4,0,1,0,1
product-svc,com.catalogix.product.security,RateLimiterFilter,19,62,2,2,6,14,2,2,0,2
product-svc,com.catalogix.product.dto,CreateProductRequest,0,24,0,0,0,11,0,7,0,7
product-svc,com.catalogix.product.dto,ProductResponse,19,27,0,0,10,10,5,5,5,5
product-svc,com.catalogix.product.model,Product,19,24,0,0,9,9,5,5,5,5
